country,date,GDP_cnstn,GDP_growth,GDP_cnstn_usd,GDP_pp_usd,GDP_pp_LCU,Inflatn,forgn_invst,forgn_invst_gdp,Fin_consum,Fin_consum_govern,Ext_balnce_g_s,Fin_consum_hous,Unmploy,Labor_part,GDP_usd
Belgium,1999,349591900000.0,3.54271798823922,354617493817.972,34676.6051555263,34185.1727373971,0.598922533902964,119692913000.0,46.3484571485071,73.3548596907402,21.2820398534755,3.95612849122355,52.0728198372647,8.649,51.911,258245733221.468
Belgium,1998,337630600000.0,1.96183240455609,342484242936.573,33566.9875919507,33091.2805321725,1.80561940538095,22690500000.0,8.77679407696031,74.0117735158655,21.0949180608347,3.639567404539,52.9168554550308,9.322,50.852,258528339631.029
Belgium,1997,331134300000.0,3.79367165541437,335894554716.996,32991.5010116146,32523.9496741312,0.757610794464298,11998300000.0,4.74788988025515,73.8154363089939,21.1513979156766,3.88422210471594,52.6640383933173,8.95,50.52,252708051420.839
Belgium,1996,319031300000.0,1.32143214432601,323617566812.874,31862.6693868132,31411.1157069018,0.476638370360092,14063900000.0,5.03718760952012,75.1972470578024,21.7183862211024,3.1720061543602,53.4788608366999,9.483,50.406,279201433224.756
Belgium,1995,314870500000.0,2.38475724870135,319396952810.439,31508.622663522,31062.0864885416,1.22076961059385,10688700000.0,3.71102444734668,74.3590523214741,21.2989651245599,3.85017561479431,53.0600871969142,9.337,50.531,288025588396.278
Belgium,1994,307536501000.0,3.22697145426247,311957523163.918,30839.2414336465,30402.1916439386,2.09430484552642,8513580000.0,3.47657482650626,74.4172306467761,21.1019338255165,3.61761865723349,53.3117100400584,9.645,50.33,244884129491.198
Belgium,1993,297922623000.0,-0.961873076923027,302205439885.582,29967.3944241601,29542.7003388873,3.99323167827308,10750000000.0,4.78369263919673,74.9555259588903,21.2946426523691,3.20274531820055,53.6579427925736,8.078,49.73,224721795708.955
Belgium,1992,300816092000.0,1.53065475142162,305140504242.68,30376.8745342462,29946.3773491666,3.42452475554731,11285800000.0,4.80693439303708,75.1039590820435,20.9609310665367,2.54857316184278,54.133773040315,6.702,49.632,234781652446.675
Belgium,1991,296281052000.0,1.83307441343001,300540270315.165,30040.5508404095,29614.8199917517,2.87662434284985,9362560000.0,4.44753957098212,75.6518586693788,20.8629258399334,1.86917204775884,54.7753984130007,6.984,49.272,210510999409.333
Belgium,1990,290947763000.0,3.13740221731629,295130312078.184,29609.6207516724,29189.9969891784,2.81240381117954,8046730000.0,3.91889227088431,74.412494601604,20.2172850732894,1.75953083661411,54.177396144149,7.25,48.339,205331747947.851
Belgium,1989,282097238000.0,3.46916697570174,286152555458.327,28794.6548841575,28386.5807138213,4.79745736975174,7020270000.0,4.27489029065365,74.6672518879114,20.4558333384452,2.19656519091369,54.1957849707285,8.284,48.398,164221056511.057
Belgium,1988,272638938000.0,4.72320872854138,276558286707.311,27930.4858968463,27534.6586189958,2.16899005119461,5212470000.0,3.2116443541361,75.9446191033637,21.1432035444767,2.3932198944929,54.7911779983393,10.127,48.643,162299103675.261
